Variable2,Variable
Car_Seq_CCS_Bio_Ene_Sup_Gas,Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases
Car_Seq_CCS_Bio_Ene_Sup_Hyd,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen
Car_Seq_CCS_Bio_Ene_Sup_Liq,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids
Car_Seq_CCS_Bio_Ene_Sup_Oth,Carbon Sequestration|CCS|Biomass|Energy|Supply|Other
Car_Seq_CCS_Fos_Ene_Dem_Ind,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry
Car_Seq_CCS_Fos_Ene_Sup,Carbon Sequestration|CCS|Fossil|Energy|Supply
Car_Seq_CCS_Fos_Ene_Sup_Ele,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity
Car_Seq_CCS_Fos_Ene_Sup_Gas,Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases
Car_Seq_CCS_Fos_Ene_Sup_Hyd,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen
Car_Seq_CCS_Fos_Ene_Sup_Liq,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids
Car_Seq_CCS_Fos_Ene_Sup_Oth,Carbon Sequestration|CCS|Fossil|Energy|Supply|Other
Car_Seq_Oth,Carbon Sequestration|Other
Emi_BC,Emissions|BC
Emi_BC_AFO,Emissions|BC|AFOLU
Emi_BC_AFO_Agr,Emissions|BC|AFOLU|Agriculture
Emi_BC_AFO_Lan,Emissions|BC|AFOLU|Land
Emi_BC_Ene,Emissions|BC|Energy
Emi_BC_Ene_Dem_Ind,Emissions|BC|Energy|Demand|Industry
Emi_BC_Ene_Dem_Tra,Emissions|BC|Energy|Demand|Transportation
Emi_BC_Ene_Sup,Emissions|BC|Energy|Supply
Emi_BC_Ind_Pro,Emissions|BC|Industrial Processes
Emi_BC_Oth,Emissions|BC|Other
Emi_BC_Was,Emissions|BC|Waste
Emi_CH4,Emissions|CH4
Emi_CH4_AFO,Emissions|CH4|AFOLU
Emi_CH4_AFO_Agr,Emissions|CH4|AFOLU|Agriculture
Emi_CH4_AFO_Agr_Liv,Emissions|CH4|AFOLU|Agriculture|Livestock
Emi_CH4_AFO_Agr_Liv_Ent_Fer,Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation
Emi_CH4_AFO_Agr_Liv_Man_Man,Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management
Emi_CH4_AFO_Agr_Ric,Emissions|CH4|AFOLU|Agriculture|Rice
Emi_CH4_AFO_Lan,Emissions|CH4|AFOLU|Land
Emi_CH4_Ene,Emissions|CH4|Energy
Emi_CH4_Ene_Dem_Ind,Emissions|CH4|Energy|Demand|Industry
Emi_CH4_Ene_Dem_Tra,Emissions|CH4|Energy|Demand|Transportation
Emi_CH4_Ene_Sup,Emissions|CH4|Energy|Supply
Emi_CH4_Ind_Pro,Emissions|CH4|Industrial Processes
Emi_CH4_Ind_Pro_Che,Emissions|CH4|Industrial Processes|Chemicals
Emi_CH4_Oth,Emissions|CH4|Other
Emi_CH4_Was,Emissions|CH4|Waste
